"Date","Time","At","Opponent","Location","Result","Combined Score","Team Score","Opponent Score","Tournament","Year","Conference","OpponentID","LocationID","ConferenceID"
"Mar 13 (Sat)","1:00 PM","Away","Virginia Tech","Blacksburg, Va.","L","4-13","4","13","",2010,"Big Ten",10066,30058,20001
"Mar 14 (Sun)","1:00 PM","Away","Virginia Tech","Blacksburg, Va.","L","4-8","4","8","",2010,"Big Ten",10066,30058,20001
"Mar 16 (Tue)","4:00 PM","Home","Old Dominion","College Park, MD","W","3-2","3","2","",2010,"",10025,30015,NA
"Mar 17 (Wed)","5:00 PM","Home","William & Mary","Williamsburg, Va.","L","2-5","2","5","",2010,"",10046,30035,NA
"Mar 19 (Fri)","6:00 PM","Home","Georgia Tech","College Park, MD","W","5-2","5","2","",2010,"Big Ten",10011,30015,20001
"Mar 20 (Sat)","1:00 PM","Home","Georgia Tech","College Park, MD","L","4-24","4","24","",2010,"Big Ten",10011,30015,20001
"Mar 21 (Sun)","1:00 PM","Home","Georgia Tech","College Park, MD","L","3-10","3","10","",2010,"Big Ten",10011,30015,20001
"Mar 23 (Tue)","6:30 PM","Away","James Madison","Harrisonburg, VA","L","2-6","2","6","",2010,"",10006,30024,NA
"Mar 24 (Wed)","4:00 PM","Home","UMBC","College Park, MD","W","8-5","8","5","",2010,"",10021,30015,NA
"Mar 26 (Fri)","6:00 PM","Away","Florida State","Tallahassee, FL","L","1-4","1","4","",2010,"Big Ten",10022,30022,20001
"Mar 27 (Sat)","6:00 PM","Away","Florida State","Tallahassee, FL","L","5-12","5","12","",2010,"Big Ten",10022,30022,20001
"Mar 28 (Sun)","1:00 PM","Away","Florida State","Tallahassee, FL","L","5-9","5","9","",2010,"Big Ten",10022,30022,20001
"Mar 30 (Tue)","6:00 PM","Home","VCU","College Park, MD","W","7-2","7","2","",2010,"",10075,30015,NA
"Mar 31 (Wed)","6:00 PM","Home","Navy","College Park, MD","W","5-1","5","1","",2010,"",10048,30015,NA
"Apr 2 (Fri)","6:00 PM","Home","North Carolina","College Park, MD","W","6-5","6","5","",2010,"Big Ten",10014,30015,20001
"Apr 3 (Sat)","1:00 PM","Home","North Carolina","College Park, MD","L","4-11","4","11","",2010,"Big Ten",10014,30015,20001
"Apr 4 (Sun)","1:00 PM","Home","North Carolina","College Park, MD","L","4-8","4","8","",2010,"Big Ten",10014,30015,20001
"Apr 6 (Tue)","3:00 PM","Away","George Mason","Fairfax, VA","L","1-3","1","3","",2010,"",10029,30019,NA
"Apr 7 (Wed)","6:00 PM","Home","West Virginia","College Park, MD","L","9-20","9","20","",2010,"",10033,30015,NA
"Apr 10 (Sat)","12:00 PM","Away","Boston College","Chestnut Hill, Mass.","L","0-4","0","4","",2010,"Big Ten",10071,30053,20001
"Apr 10 (Sat)","3:30 PM","Away","Boston College","Chestnut Hill, Mass.","L","4-5","4","5","",2010,"Big Ten",10071,30053,20001
"Apr 11 (Sun)","1:00 PM","Away","Boston College","Chestnut Hill, Mass.","W","4-2","4","2","",2010,"Big Ten",10071,30053,20001
"Apr 14 (Wed)","6:00 PM","Away","UMBC","Baltimore, Md.","W","10-7","10","7","",2010,"",10021,30023,NA
"Apr 16 (Fri)","6:00 PM","Home","North Carolina State","College Park, MD","L","2-4","2","4","",2010,"",10062,30015,NA
"Apr 17 (Sat)","1:00 PM","Home","North Carolina State","College Park, MD","L","2-7","2","7","",2010,"",10062,30015,NA
"Apr 18 (Sun)","1:00 PM","Home","North Carolina State","College Park, MD","L","6-22","6","22","",2010,"",10062,30015,NA
"Apr 20 (Tue)","7:00 PM","Away","Old Dominion","Norfolk, Va.","W","14-9","14","9","",2010,"",10025,30039,NA
"Apr 21 (Wed)","6:00 PM","Home","Towson","College Park, MD","L","1-3","1","3","",2010,"",10020,30015,NA
"Apr 23 (Fri)","3:00 PM","Home","Virginia","College Park, MD","L","1-5","1","5","",2010,"",10019,30015,NA
"Apr 23 (Fri)","6:30 PM","Home","Virginia","College Park, MD","L","4-27","4","27","",2010,"",10019,30015,NA
"Apr 24 (Sat)","1:00 PM","Home","Virginia","College Park, MD","L","2-11","2","11","",2010,"",10019,30015,NA
"Apr 27 (Tue)","6:00 PM","Home","George Mason","College Park, MD","L","6-20","6","20","",2010,"",10029,30015,NA
"Apr 28 (Wed)","6:00 PM","Home","James Madison","College Park, MD","L","3-8","3","8","",2010,"",10006,30015,NA
"Apr 30 (Fri)","7:00 PM","Away","Miami","Miami, Fla.","L","1-5","1","5","",2010,"Big Ten",10068,30050,20001
"May 1 (Sat)","7:00 PM","Away","Miami","Miami, Fla.","L","4-6","4","6","",2010,"Big Ten",10068,30050,20001
"May 2 (Sun)","12:00 PM","Away","Miami","Miami, Fla.","L","1-9","1","9","",2010,"Big Ten",10068,30050,20001
"May 4 (Tue)","3:00 PM","Away","Towson","Towson, MD","W","10-5","10","5","",2010,"",10020,30027,NA
"May 5 (Wed)","3:00 PM","Away","Liberty","Lynchburg, Va.","L","1-11","1","11","",2010,"",10083,30059,NA
"May 7 (Fri)","6:00 PM","Home","Clemson","College Park, MD","L","6-18","6","18","",2010,"Big Ten",10009,30015,20001
"May 8 (Sat)","1:00 PM","Home","Clemson","College Park, MD","L","8-12","8","12","",2010,"Big Ten",10009,30015,20001
"May 9 (Sun)","1:00 PM","Home","Clemson","College Park, MD","L","5-7","5","7","",2010,"Big Ten",10009,30015,20001
"May 20 (Thu)","6:00 PM","Away","Wake Forest","Winston-Salem, N.C.","W","5-1","5","1","",2010,"Big Ten",10023,30026,20001
"May 21 (Fri)","6:00 PM","Away","Wake Forest","Winston-Salem, N.C.","L","1-13","1","13","",2010,"Big Ten",10023,30026,20001
"May 22 (Sat)","1:00 PM","Away","Wake Forest","Winston-Salem, N.C.","L","7-8","7","8","",2010,"Big Ten",10023,30026,20001
"Feb 18 (Fri)","4:00 PM","Away","Texas","Austin, Texas","L","0-8","0","8","",2011,"",10084,30060,NA
"Feb 19 (Sat)","1:00 PM","Away","Texas","Austin, Texas","W","10-1","10","1","",2011,"",10084,30060,NA
"Feb 19 (Sat)","4:30 PM","Away","Texas","Austin, Texas","L","4-7","4","7","",2011,"",10084,30060,NA
"Feb 20 (Sun)","1:00 PM","Away","Texas","Austin, Texas","L","0-16","0","16","",2011,"",10084,30060,NA
"Feb 23 (Wed)","3:00 PM","Home","Navy","College Park, MD","W","8-3","8","3","",2011,"",10048,30015,NA
"Feb 25 (Fri)","3:00 PM","Home","Army","College Park, MD","W","7-6","7","6","",2011,"",10085,30015,NA
"Feb 26 (Sat)","1:00 PM","Home","Army","College Park, MD","W","3-0","3","0","",2011,"",10085,30015,NA
"Feb 27 (Sun)","12:00 PM","Home","Army","College Park, MD","W","3-1","3","1","",2011,"",10085,30015,NA
"Mar 4 (Fri)","3:00 PM","Home","Canisius","College Park, MD","L","4-5","4","5","",2011,"",10086,30015,NA
"Mar 5 (Sat)","12:00 PM","Home","Canisius","College Park, MD","W","6-2","6","2","",2011,"",10086,30015,NA
"Mar 5 (Sat)","3:30 PM","Home","Canisius","College Park, MD","W","9-1","9","1","",2011,"",10086,30015,NA
"Mar 8 (Tue)","3:00 PM","Home","Delaware","College Park, MD","W","8-0","8","0","",2011,"",10054,30015,NA
"Mar 11 (Fri)","7:00 PM","Away","Georgia Tech","Atlanta, Ga.","L","0-1","0","1","",2011,"Big Ten",10011,30030,20001
"Mar 12 (Sat)","4:00 PM","Away","Georgia Tech","Atlanta, Ga.","L","3-9","3","9","",2011,"Big Ten",10011,30030,20001
"Mar 13 (Sun)","1:00 PM","Away","Georgia Tech","Atlanta, Ga.","L","2-6","2","6","",2011,"Big Ten",10011,30030,20001
"Mar 15 (Tue)","4:00 PM","Home","Liberty","College Park, MD","L","4-11","4","11","",2011,"",10083,30015,NA
"Mar 16 (Wed)","4:00 PM","Home","Liberty","College Park, MD","W","10-5","10","5","",2011,"",10083,30015,NA
"Mar 18 (Fri)","7:00 PM","Home","Boston College","College Park, MD","L","4-7","4","7","",2011,"Big Ten",10071,30015,20001
"Mar 19 (Sat)","3:00 PM","Home","Boston College","College Park, MD","W","4-3","4","3","",2011,"Big Ten",10071,30015,20001
"Mar 20 (Sun)","12:00 PM","Home","Boston College","College Park, MD","L","1-4","1","4","",2011,"Big Ten",10071,30015,20001
"Mar 22 (Tue)","7:00 PM","Home","George Washington","College Park, MD","W","8-2","8","2","",2011,"",10017,30015,NA
"Mar 25 (Fri)","6:00 PM","Away","Virginia","Charlottesville, Va.","L","1-14","1","14","",2011,"Big Ten",10019,30033,20001
"Mar 26 (Sat)","1:00 PM","Away","Virginia","Charlottesville, Va.","L","2-4","2","4","",2011,"Big Ten",10019,30033,20001
"Mar 26 (Sat)","4:00 PM","Away","Virginia","Charlottesville, Va.","L","2-4","2","4","",2011,"Big Ten",10019,30033,20001
"Mar 30 (Wed)","7:00 PM","Home","George Mason","College Park, MD","W","3-2","3","2","",2011,"",10029,30015,NA
"Apr 1 (Fri)","7:00 PM","Home","Florida State","College Park, MD","L","0-6","0","6","",2011,"Big Ten",10022,30015,20001
"Apr 2 (Sat)","3:00 PM","Home","Florida State","College Park, MD","W","5-0","5","0","",2011,"Big Ten",10022,30015,20001
"Apr 3 (Sun)","12:00 PM","Home","Florida State","College Park, MD","L","3-12","3","12","",2011,"Big Ten",10022,30015,20001
"Apr 5 (Tue)","6:00 PM","Away","West Virginia","Morgantown, W. Va.","W","10-6","10","6","",2011,"",10033,30041,NA
"Apr 8 (Fri)","6:30 PM","Away","Clemson","Clemson, S.C.","L","3-12","3","12","",2011,"Big Ten",10009,30021,20001
"Apr 9 (Sat)","7:00 PM","Away","Clemson","Clemson, S.C.","L","0-7","0","7","",2011,"Big Ten",10009,30021,20001
"Apr 10 (Sun)","1:00 PM","Away","Clemson","Clemson, S.C.","W","7-6","7","6","",2011,"Big Ten",10009,30021,20001
"Apr 12 (Tue)","7:00 PM","Home","Delaware","College Park, MD","W","8-0","8","0","",2011,"",10054,30015,NA
"Apr 13 (Wed)","7:00 PM","Away","James Madison","Harrisonburg, VA","L","12-13","12","13","",2011,"",10006,30024,NA
"Apr 15 (Fri)","7:00 PM","Home","Miami","College Park, MD","L","4-10","4","10","",2011,"Big Ten",10068,30015,20001
"Apr 17 (Sun)","11:00 AM","Home","Miami","College Park, MD","W","10-2","10","2","",2011,"Big Ten",10068,30015,20001
"Apr 17 (Sun)","2:30 PM","Home","Miami","College Park, MD","L","2-5","2","5","",2011,"Big Ten",10068,30015,20001
"Apr 19 (Tue)","7:00 PM","Home","James Madison","College Park, MD","L","1-6","1","6","",2011,"",10006,30015,NA
"Apr 20 (Wed)","6:05 PM","Away","Penn State","State College, Pa.","L","2-4","2","4","",2011,"",10049,30061,NA
"Apr 22 (Fri)","7:00 PM","Home","Virginia Tech","College Park, MD","L","2-7","2","7","",2011,"Big Ten",10066,30015,20001
"Apr 23 (Sat)","3:00 PM","Home","Virginia Tech","College Park, MD","L","2-11","2","11","",2011,"Big Ten",10066,30015,20001
"Apr 24 (Sun)","12:00 PM","Home","Virginia Tech","College Park, MD","L","5-13","5","13","",2011,"Big Ten",10066,30015,20001
"Apr 26 (Tue)","7:00 PM","Home","Saint Joseph's","College Park, MD","W","4-1","4","1","",2011,"",10087,30015,NA
"Apr 27 (Wed)","3:00 PM","Away","George Mason","Fairfax, VA","W","6-1","6","1","",2011,"",10029,30019,NA
"Apr 29 (Fri)","6:30 PM","Away","North Carolina State","Raleigh, N.C.","W","13-11","13","11","",2011,"Big Ten",10062,30032,20001
"Apr 30 (Sat)","6:30 PM","Away","North Carolina State","Raleigh, N.C.","L","5-9","5","9","",2011,"Big Ten",10062,30032,20001
"May 1 (Sun)","1:00 PM","Away","North Carolina State","Raleigh, N.C.","L","5-7","5","7","",2011,"Big Ten",10062,30032,20001
"May 3 (Tue)","7:00 PM","Home","Towson","College Park, MD","L","6-10","6","10","",2011,"",10020,30015,NA
"May 4 (Wed)","3:00 PM","Away","Towson","Towson, MD","L","2-3","2","3","",2011,"",10020,30027,NA
"May 6 (Fri)","7:00 PM","Away","North Carolina","Chapel Hill, N.C.","L","0-5","0","5","",2011,"",10014,30025,NA
"May 7 (Sat)","1:00 PM","Away","North Carolina","Chapel Hill, N.C.","L","4-5","4","5","",2011,"",10014,30025,NA
"May 8 (Sun)","1:00 PM","Away","North Carolina","Chapel Hill, N.C.","L","4-8","4","8","",2011,"Big Ten",10014,30025,20001
"May 10 (Tue)","3:00 PM","Away","Delaware","Newark, DE","W","7-6","7","6","",2011,"",10054,30042,NA
"May 19 (Thu)","7:00 PM","Home","Wake Forest","College Park, MD","L","2-6","2","6","",2011,"Big Ten",10023,30015,20001
"May 20 (Fri)","7:00 PM","Home","Wake Forest","College Park, MD","L","5-15","5","15","",2011,"Big Ten",10023,30015,20001
"May 21 (Sat)","1:00 PM","Home","Wake Forest","College Park, MD","L","0-4","0","4","",2011,"Big Ten",10023,30015,20001
"Feb 17 (Fri)","9:00 PM","Away","UCLA","Los Angeles, Calif.","W","2-1","2","1","",2012,"",10088,30062,NA
"Feb 18 (Sat)","5:00 PM","Away","UCLA","Los Angeles, Calif.","L","5-6","5","6","",2012,"",10088,30062,NA
"Feb 19 (Sun)","1:00 PM","Away","UCLA","Los Angeles, Calif.","W","5-1","5","1","",2012,"",10088,30062,NA
"Feb 25 (Sat)","9:00 AM","Away","Western Carolina","Greenville, N.C.","W","3-0","3","0","",2012,"",10089,30052,NA
"Feb 25 (Sat)","TBA","Home","Purdue","Greenville, N.C.","W","11-1","11","1","",2012,"",10090,30052,NA
"Feb 26 (Sun)","2:00 PM","Away","East Carolina","Greenville, N.C.","W","2-1","2","1","",2012,"",10026,30052,NA
"Mar 2 (Fri)","3:00 PM","Home","Manhattan","College Park, MD","W","3-2","3","2","",2012,"",10091,30015,NA
"Mar 3 (Sat)","12:00 PM","Home","Manhattan","College Park, MD","W","4-1","4","1","",2012,"",10091,30015,NA
"Mar 3 (Sat)","TBA","Home","Manhattan","College Park, MD","W","10-1","10","1","",2012,"",10091,30015,NA
"Mar 4 (Sun)","1:00 PM","Home","Manhattan","College Park, MD","W","10-0","10","0","",2012,"",10091,30015,NA
"Mar 6 (Tue)","3:00 PM","Home","Delaware","College Park, MD","W","2-0","2","0","",2012,"",10054,30015,NA
"Mar 7 (Wed)","2:00 PM","Away","Navy","Annapolis, Md.","W","4-2","4","2","",2012,"",10048,30036,NA
"Mar 9 (Fri)","6:00 PM","Away","Wake Forest","Winston-Salem, N.C.","L","5-10","5","10","",2012,"Big Ten",10023,30026,20001
"Mar 10 (Sat)","4:00 PM","Away","Wake Forest","Winston-Salem, N.C.","L","6-9","6","9","",2012,"Big Ten",10023,30026,20001
"Mar 11 (Sun)","1:00 PM","Away","Wake Forest","Winston-Salem, N.C.","L","3-4","3","4","",2012,"Big Ten",10023,30026,20001
"Mar 14 (Wed)","3:00 PM","Home","St. Peter's","College Park, MD","W","9-0","9","0","",2012,"",10092,30015,NA
"Mar 14 (Wed)","TBA","Home","St. Peter's","College Park, MD","W","1-0","1","0","",2012,"",10092,30015,NA
"Mar 16 (Fri)","6:00 PM","Home","North Carolina","College Park, MD","L","3-4","3","4","",2012,"Big Ten",10014,30015,20001
"Mar 17 (Sat)","3:00 PM","Home","North Carolina","College Park, MD","L","5-9","5","9","",2012,"Big Ten",10014,30015,20001
"Mar 18 (Sun)","1:00 PM","Home","North Carolina","College Park, MD","W","1-0","1","0","",2012,"Big Ten",10014,30015,20001
"Mar 20 (Tue)","6:00 PM","Home","George Washington","College Park, MD","W","8-6","8","6","",2012,"",10017,30015,NA
"Mar 21 (Wed)","3:00 PM","Away","Delaware","Newark, DE","L","1-3","1","3","",2012,"",10054,30042,NA
"Mar 23 (Fri)","7:00 PM","Away","Miami","Coral Gables, Fla.","L","1-4","1","4","",2012,"Big Ten",10068,30056,20001
"Mar 24 (Sat)","7:00 PM","Away","Miami","Coral Gables, Fla.","L","1-9","1","9","",2012,"Big Ten",10068,30056,20001
"Mar 25 (Sun)","1:00 PM","Away","Miami","Coral Gables, Fla.","W","6-4","6","4","",2012,"Big Ten",10068,30056,20001
"Mar 28 (Wed)","3:00 PM","Away","St. John's","Queens, N.Y.","W","16-4","16","4","",2012,"",10093,30063,NA
"Mar 30 (Fri)","12:00 PM","Away","Boston College","Chestnut Hill, Mass.","L","3-10","3","10","",2012,"Big Ten",10071,30053,20001
"Mar 30 (Fri)","3:30 PM","Away","Boston College","Chestnut Hill, Mass.","L","4-5","4","5","",2012,"Big Ten",10071,30053,20001
"Mar 31 (Sat)","1:30 PM","Away","Boston College","Chestnut Hill, Mass.","W","7-1","7","1","",2012,"Big Ten",10071,30053,20001
"Apr 3 (Tue)","6:00 PM","Home","George Mason","College Park, MD","L","6-7","6","7","",2012,"",10029,30015,NA
"Apr 4 (Wed)","6:00 PM","Home","Bucknell","College Park, MD","W","8-3","8","3","",2012,"",10094,30015,NA
"Apr 6 (Fri)","6:00 PM","Home","North Carolina State","College Park, MD","W","4-0","4","0","",2012,"Big Ten",10062,30015,20001
"Apr 7 (Sat)","3:00 PM","Home","North Carolina State","College Park, MD","L","2-3","2","3","",2012,"Big Ten",10062,30015,20001
"Apr 8 (Sun)","1:00 PM","Home","North Carolina State","College Park, MD","W","7-6","7","6","",2012,"Big Ten",10062,30015,20001
"Apr 11 (Wed)","6:00 PM","Home","West Virginia","College Park, MD","W","3-0","3","0","",2012,"",10033,30015,NA
"Apr 13 (Fri)","6:00 PM","Home","Duke","College Park, MD","W","4-2","4","2","",2012,"Big Ten",10013,30015,20001
"Apr 14 (Sat)","3:00 PM","Home","Duke","College Park, MD","W","21-2","21","2","",2012,"Big Ten",10013,30015,20001
"Apr 15 (Sun)","1:00 PM","Home","Duke","College Park, MD","L","3-5","3","5","",2012,"Big Ten",10013,30015,20001
"Apr 17 (Tue)","6:00 PM","Home","James Madison","College Park, MD","W","3-0","3","0","",2012,"",10006,30015,NA
"Apr 20 (Fri)","6:00 PM","Home","Clemson","College Park, MD","L","4-5","4","5","",2012,"Big Ten",10009,30015,20001
"Apr 21 (Sat)","11:00 AM","Home","Clemson","College Park, MD","L","3-5","3","5","",2012,"Big Ten",10009,30015,20001
"Apr 21 (Sat)","TBA","Home","Clemson","College Park, MD","L","2-7","2","7","",2012,"Big Ten",10009,30015,20001
"Apr 24 (Tue)","3:00 PM","Away","Towson","Towson, MD","W","9-1","9","1","",2012,"",10020,30027,NA
"Apr 25 (Wed)","6:00 PM","Home","Towson","College Park, MD","W","2-1","2","1","",2012,"",10020,30015,NA
"Apr 27 (Fri)","5:30 PM","Away","Virginia Tech","Blacksburg, Va.","L","5-7","5","7","",2012,"Big Ten",10066,30058,20001
"Apr 28 (Sat)","2:00 PM","Away","Virginia Tech","Blacksburg, Va.","W","8-1","8","1","",2012,"Big Ten",10066,30058,20001
"Apr 29 (Sun)","1:00 PM","Away","Virginia Tech","Blacksburg, Va.","L","2-6","2","6","",2012,"Big Ten",10066,30058,20001
"May 1 (Tue)","6:00 PM","Home","Norfolk State","College Park, MD","W","1-0","1","0","",2012,"",10095,30015,NA
"May 2 (Wed)","3:00 PM","Away","George Mason","Fairfax, VA","L","3-5","3","5","",2012,"",10029,30019,NA
"May 5 (Sat)","1:00 PM","Away","Florida State","Tallahassee, FL","L","3-10","3","10","",2012,"Big Ten",10022,30022,20001
"May 6 (Sun)","2:00 PM","Away","Florida State","Tallahassee, FL","L","2-9","2","9","",2012,"Big Ten",10022,30022,20001
"May 7 (Mon)","7:00 PM","Away","Florida State","Tallahassee, FL","W","8-5","8","5","",2012,"Big Ten",10022,30022,20001
"May 9 (Wed)","6:00 PM","Home","Penn State","College Park, MD","W","7-3","7","3","",2012,"",10049,30015,NA
"May 17 (Thu)","6:00 PM","Home","Virginia","College Park, MD","L","6-7","6","7","",2012,"Big Ten",10019,30015,20001
"May 18 (Fri)","6:00 PM","Home","Virginia","College Park, MD","L","3-10","3","10","",2012,"Big Ten",10019,30015,20001
"May 19 (Sat)","1:00 PM","Home","Virginia","College Park, MD","W","6-5","6","5","",2012,"Big Ten",10019,30015,20001
"Feb 15 (Fri)","8:00 PM","Away","LSU","Baton Rouge, La.","L","0-1","0","1","",2013,"",10096,30064,NA
"Feb 16 (Sat)","2:00 PM","Away","LSU","Baton Rouge, La.","L","1-5","1","5","",2013,"",10096,30064,NA
"Feb 17 (Sun)","1:00 PM","Away","LSU","Baton Rouge, La.","L","3-14","3","14","",2013,"",10096,30064,NA
"Feb 22 (Fri)","12:00 PM","Home","Oakland","College Park, MD","W","15-4","15","4","",2013,"",10097,30015,NA
"Feb 22 (Fri)","3:30 PM","Home","Oakland","College Park, MD","W","8-4","8","4","",2013,"",10097,30015,NA
"Feb 24 (Sun)","11:00 AM","Home","Oakland","College Park, MD","W","8-0","8","0","",2013,"",10097,30015,NA
"Feb 24 (Sun)","2:30 PM","Home","Oakland","College Park, MD","W","4-3","4","3","",2013,"",10097,30015,NA
"Feb 27 (Wed)","4:00 PM","Away","James Madison","Harrisonburg, VA","W","10-5","10","5","",2013,"",10006,30024,NA
"Mar 1 (Fri)","4:00 PM","Home","Princeton","College Park, MD","W","6-0","6","0","",2013,"",10098,30015,NA
"Mar 2 (Sat)","12:00 PM","Home","Princeton","College Park, MD","W","16-3","16","3","",2013,"",10098,30015,NA
"Mar 2 (Sat)","3:30 PM","Home","Princeton","College Park, MD","W","9-2","9","2","",2013,"",10098,30015,NA
"Mar 3 (Sun)","1:00 PM","Home","Princeton","College Park, MD","W","9-4","9","4","",2013,"",10098,30015,NA
"Mar 9 (Sat)","4:00 PM","Away","Virginia","Charlottesville, Va.","L","6-7","6","7","",2013,"Big Ten",10019,30033,20001
"Mar 9 (Sat)","7:15 PM","Away","Virginia","Charlottesville, Va.","L","0-5","0","5","",2013,"Big Ten",10019,30033,20001
"Mar 10 (Sun)","12:30 PM","Away","Virginia","Charlottesville, Va.","W","4-2","4","2","",2013,"Big Ten",10019,30033,20001
"Mar 12 (Tue)","4:00 PM","Home","Marist","College Park, MD","W","9-3","9","3","",2013,"",10027,30015,NA
"Mar 15 (Fri)","6:30 PM","Home","Florida State","College Park, MD","W","5-3","5","3","",2013,"Big Ten",10022,30015,20001
"Mar 16 (Sat)","1:30 PM","Home","Florida State","College Park, MD","L","6-7","6","7","",2013,"Big Ten",10022,30015,20001
"Mar 17 (Sun)","1:00 PM","Home","Florida State","College Park, MD","L","3-4","3","4","",2013,"Big Ten",10022,30015,20001
"Mar 19 (Tue)","4:00 PM","Home","James Madison","College Park, MD","W","10-7","10","7","",2013,"",10006,30015,NA
"Mar 22 (Fri)","6:30 PM","Home","Wake Forest","College Park, MD","W","5-4","5","4","",2013,"Big Ten",10023,30015,20001
"Mar 23 (Sat)","1:30 PM","Home","Wake Forest","College Park, MD","L","7-8","7","8","",2013,"Big Ten",10023,30015,20001
"Mar 24 (Sun)","12:00 PM","Home","Wake Forest","College Park, MD","L","4-7","4","7","",2013,"Big Ten",10023,30015,20001
"Mar 26 (Tue)","4:00 PM","Home","George Mason","College Park, MD","L","2-3","2","3","",2013,"",10029,30015,NA
"Mar 29 (Fri)","6:30 PM","Away","North Carolina State","Raleigh, N.C.","L","2-3","2","3","",2013,"Big Ten",10062,30032,20001
"Mar 30 (Sat)","6:30 PM","Away","North Carolina State","Raleigh, N.C.","W","3-2","3","2","",2013,"Big Ten",10062,30032,20001
"Mar 31 (Sun)","1:00 PM","Away","North Carolina State","Raleigh, N.C.","L","4-9","4","9","",2013,"Big Ten",10062,30032,20001
"Apr 3 (Wed)","4:00 PM","Home","Rider","College Park, MD","W","6-3","6","3","",2013,"",10099,30015,NA
"Apr 5 (Fri)","7:00 PM","Away","North Carolina","Chapel Hill, N.C.","L","4-12","4","12","",2013,"Big Ten",10014,30025,20001
"Apr 6 (Sat)","6:00 PM","Away","North Carolina","Chapel Hill, N.C.","L","3-5","3","5","",2013,"Big Ten",10014,30025,20001
"Apr 7 (Sun)","1:00 PM","Away","North Carolina","Chapel Hill, N.C.","L","4-8","4","8","",2013,"Big Ten",10014,30025,20001
"Apr 9 (Tue)","4:00 PM","Home","VCU","College Park, MD","W","6-5","6","5","",2013,"",10075,30015,NA
"Apr 10 (Wed)","3:00 PM","Away","George Mason","Fairfax, VA","W","1-16","1","16","",2013,"",10029,30019,NA
"Apr 12 (Fri)","6:30 PM","Home","Miami","College Park, MD","L","0-1","0","1","",2013,"Big Ten",10068,30015,20001
"Apr 13 (Sat)","6:30 PM","Home","Miami","College Park, MD","L","3-5","3","5","",2013,"Big Ten",10068,30015,20001
"Apr 14 (Sun)","1:00 PM","Home","Miami","College Park, MD","W","7-2","7","2","",2013,"Big Ten",10068,30015,20001
"Apr 16 (Tue)","6:00 PM","Away","VCU","Richmond, VA","W","4-3","4","3","",2013,"",10075,30011,NA
"Apr 17 (Wed)","6:30 PM","Home","Mount St. Mary's","College Park, MD","L","1-2","1","2","",2013,"",10037,30015,NA
"Apr 20 (Sat)","2:00 PM","Home","Virginia Tech","College Park, MD","W","10-9","10","9","",2013,"Big Ten",10066,30015,20001
"Apr 20 (Sat)","5:30 PM","Home","Virginia Tech","College Park, MD","L","0-11","0","11","",2013,"Big Ten",10066,30015,20001
"Apr 21 (Sun)","1:00 PM","Home","Virginia Tech","College Park, MD","L","2-3","2","3","",2013,"Big Ten",10066,30015,20001
"Apr 23 (Tue)","4:00 PM","Home","Liberty","College Park, MD","W","5-3","5","3","",2013,"",10083,30015,NA
"Apr 24 (Wed)","3:30 PM","Away","Towson","Towson, MD","W","16-15","16","15","",2013,"",10020,30027,NA
"Apr 26 (Fri)","1:00 PM","Away","Duke","Durham, N.C.","W","1-0","1","0","",2013,"Big Ten",10013,30016,20001
"Apr 27 (Sat)","1:00 PM","Away","Duke","Durham, N.C.","L","9-11","9","11","",2013,"Big Ten",10013,30016,20001
"Apr 28 (Sun)","1:00 PM","Away","Duke","Durham, N.C.","W","1-4","1","4","",2013,"Big Ten",10013,30016,20001
"Apr 30 (Tue)","4:00 PM","Home","Towson","College Park, MD","W","11-3","11","3","",2013,"",10020,30015,NA
"May 1 (Wed)","3:00 PM","Away","Liberty","Lynchburg, Va.","W","2-4","2","4","",2013,"",10083,30059,NA
"May 4 (Sat)","1:00 PM","Away","Clemson","Clemson, S.C.","W","2-7","2","7","",2013,"Big Ten",10009,30021,20001
"May 6 (Mon)","1:30 PM","Away","Clemson","Clemson, S.C.","L","3-2","3","2","",2013,"Big Ten",10009,30021,20001
"May 6 (Mon)","7:00 PM","Away","Clemson","Clemson, S.C.","L","9-5","9","5","",2013,"Big Ten",10009,30021,20001
"May 8 (Wed)","6:45 PM","Home","VCU","College Park, MD","L","7-9","7","9","",2013,"",10075,30015,NA
"May 16 (Thu)","6:30 PM","Home","Boston College","College Park, MD","L","1-2","1","2","",2013,"Big Ten",10071,30015,20001
"May 17 (Fri)","6:30 PM","Home","Boston College","College Park, MD","W","4-1","4","1","",2013,"Big Ten",10071,30015,20001
"May 18 (Sat)","1:00 PM","Home","Boston College","College Park, MD","W","5-4","5","4","",2013,"Big Ten",10071,30015,20001
"Feb 14 (Fri)","7:00 PM","Away","Florida","Gainesville, Fla.","L","0-4","0","4","",2014,"",10100,30065,NA
"Feb 15 (Sat)","4:00 PM","Away","Florida","Gainesville, Fla.","W","9-7","9","7","",2014,"",10100,30065,NA
"Feb 16 (Sun)","12:00 PM","Away","Florida","Gainesville, Fla.","L","5-8","5","8","",2014,"",10100,30065,NA
"Feb 22 (Sat)","2:00 PM","Home","Bryant","College Park, MD","W","3-0","3","0","",2014,"",10101,30015,NA
"Feb 22 (Sat)","5:30 PM","Home","Bryant","College Park, MD","W","3-0","3","0","",2014,"",10101,30015,NA
